Название,Картинка,Цена
"Декоративный резиновый элемент DEEPCOOL PIXEL GB для корпусов DEEPCOOL MESH (100 pcs pack), зеленый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_4823.jpg,236 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL BK для корпусов DEEPCOOL MESH (100 pcs pack), черный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_7871.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL BU для корпусов DEEPCOOL MESH (100 pcs pack), синий",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_8290.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL GY для корпусов DEEPCOOL MESH (100 pcs pack), серый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_3327.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL PK для корпусов DEEPCOOL MESH (100 pcs pack), розовый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_4207.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL PO для корпусов DEEPCOOL MESH (100 pcs pack), оранж.",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_3603.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL RD для корпусов DEEPCOOL MESH (100 pcs pack), красный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_5047.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL TV для корпусов DEEPCOOL MESH (100 pcs pack), фиолет.",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_5539.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL WH для корпусов DEEPCOOL MESH (100 pcs pack), белый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_8619.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL YE для корпусов DEEPCOOL MESH (100 pcs pack), желтый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_8280.jpg,248 Сом
DEEPCOOL RGB 100 PLUS LED STRIPE 300mm 18 LED 12V SYNC,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/92795_2190.jpg,360 Сом
DELUX mATX DLC-J603 305*170*355mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/corpusa38-1_5995.jpg,1184 Сом
Корпус Jump mATX G505 Black USB-панель (2*USB2.0 + HD AUDIO),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок5_5232.jpg,1196 Сом
Корпус Jump mATX G507 Black USB-панель (2*USB2.0 + HD AUDIO),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок6_6959.jpg,1196 Сом
"Корпус SIGMA SX-C5013 mATX 1xUSB 3.0, 1xUSB 2.0, Audio, 3x2,5"" SSD, 2x3,5"" HDD, 305x170x340mm, Black",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/30703_7314.jpg,1255 Сом
mATX WSC-6708 380*170*355mm BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/corpusa50-1_3729.jpg,1304 Сом
ATX WSC-6846 .BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_8505_2927.jpg,1316 Сом
"Корпус Aeromax WSC-3157 Black with USB, Audio Panel FG",https://enter.kg/processory_bishkek/images/yandex.png,1336 Сом
"Корпус ATX JUMP SX-C6010 USB-панель no DVD, 2*USB2.0 + HD AUDIO",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/жамп_4588.webp,1336 Сом
DELUX mATX DLC-J601 305*170*355mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/delux-matx-dlc-j601-black-tac-20-w-o-psu_6242.jpg,1376 Сом
Корпус Jump mATX G502 Black USB-панель (2*USB2.0 + HD AUDIO),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок3_3036.jpg,1376 Сом
Корпус Jump mATX G504 Black USB-панель (2*USB2.0 + HD AUDIO),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок4_4593.jpg,1376 Сом
"Корпус JUMP ATX SX-C6015 USB-панель (no DVD, 2*USB2.0 + HD AUDIO)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/33_5919_4092.jpg,1436 Сом
"Корпус JUMP ATX SX-C6010 USB-панель (no DVD, 2*USB2.0 + HD AUDIO)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/33_5919_1742.jpg,1496 Сом
"Корпус JUMP ATX SX-C6011 USB-панель (no DVD, 2*USB2.0 + HD AUDIO)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/c6011_4126.png,1496 Сом
"Корпус JUMP ATX SX-C6013 USB-панель (no DVD, 2*USB2.0 + HD AUDIO)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/33_5919_5019.jpg,1496 Сом
"Корпус JUMP ATX SX-C6012 USB-панель (no DVD, 2*USB2.0 + HD AUDIO)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/jump atx sx c6012_6178.png,1555 Сом
"Корпус Aeromax WSC-3156 Black with USB, Audio Panel FG",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/3_7802.jpg,1649 Сом
DELUX ATX DLC-W203 375*180*410mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/жамп_3577.webp,1663 Сом
"Корпус Aeromax WSC-3012 Black with USB, Audio Panel FG",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/изображение1_7341.png,1708 Сом
ATX WSC-6840 BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/whatsapp image 2021-05-05 at 11.10.02_7595.jpeg,1711 Сом
ATX WSC-6841 BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/whatsapp image 2021-05-05 at 11.10.01_3922.jpeg,1711 Сом
ATX WSC-6845 BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/25_8351.jpg,1711 Сом
DELUX mATX DLC-DW301 380*170*355mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/dlc-dw301-800x800_3168.jpg,1723 Сом
"Корпус JUMP ATX SX-C6011 USB-панель (no DVD, 1*USB2.0/ 1*USB3.0 + HD AUDIO)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/жамп_6461.webp,1735 Сом
Корпус JUMP ATX 3141-4JA USB-панель (no DVD)-Т,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/жамп_8996.webp,1917 Сом
DELUX ATX DLC-DW601 400*176*410mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/delux-atx-dlc-dw601_3197.jpg,1974 Сом
DELUX ATX DLC-DW602 400*176*410mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/delux-atx-dlc-dw602-black-tac-20-w-o-psu (1)_6379.jpg,1974 Сом
DELUX ATX DLC-DW604 400*176*410mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/delux-atx-dlc-dw604-black-tac-20-w-o-psu_1427.jpg,1974 Сом
DELUX ATX DLC-DW605 400*176*410mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1702623551_71775500_7935.png,1974 Сом
DEEPCOOL MATX WAVE V2 w/o PSU 1*USB 3.0 Black,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/bbd54b7f-4d8e-11e6-987f-005056a631e9-842238_7220.jpg,2692 Сом
"Корпус игровой JUMP ATX I1101 Black with USB (USB 2.0x2, USB 3.0x1, без кулеров)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/33_5919_2613.jpg,2991 Сом
"Корпус (игровой) Aeromax WS-8013, ATX/Micro ATX, USB 3.0/2*1.0, HD-Audio, Выс кул.до 170мм, Cooler Fan Pos: Front 3*12cm;Top:2*12cm;Rear:1*12cm, ДлVGA до360мм, 2*3.5""/2*2.5"", 421x200x452,Без Б/П,Чёрн",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/2_3903.jpg,3020 Сом
"Корпус (игровой) Aeromax WS-8016A, ATX/Micro ATX,USB 3.0/2*1.0, HD-Audio,Выс кул до 170мм, Cooler Fan Position: Front 3*12cm;Top:2*12cm;Rear:1*12cm, ДлVGA до 360мм, 2*3.5""/2*2.5"", 421x200x452, Чёрн",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/104_1144.jpg,3020 Сом
"Корпус JUMP ATX 3148-4JA USB-панель (no DVD, 2*USB2.0 + HD AUDIO, 3хRGB Cooler в комплекте)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок14_8976.png,3051 Сом
"Корпус (игровой) Aeromax WS-C8018, ATX/Micro ATX, USB 3.0/2*1.0, HD-Audio, Выс. кулера до 170мм, Длина VGA до 360мм, 2*3.5""/2*2.5"", Толщ. 0,45мм, 421x200x452, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/2_5531.jpg,3078 Сом
DEEPCOOL MATX MATREXX 30 SI w/o PSU 1*USB 3.0 Metal side panel Fully black,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/131312_2230.jpg,3111 Сом
DEEPCOOL MATX SMARTER w/o PSU 1*USB 3.0 Fully metal mesh front panel Fully black,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/resized/01_1709.jpg,3290 Сом
"Корпус (игровой) Aeromax WS-8012A, ATX/Micro ATX, USB 3.0/2*1.0,HD-Audio, Выс.кул до 170мм, Cooler Fan Position: Front 3*12cm;Top:2*12cm;Rear:1*12cm, ДлVGAдо360мм, 2*3.5""/2*2.5"",421x200x452, Чёр",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/103_8266.jpg,3369 Сом
"Корпус игровой JUMP K1 Black with USB (USB 2.0x2, USB 3.0x1, Card reader (TF, SD-card) 2xCooler)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/resized/к1_7356.jpg,3423 Сом
"Корпус игровой JUMP K2 Black with USB (USB 2.0x1, USB 3.0x1, Card reader (TF, SD-card) 2xCooler)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/resized/k2_8707.jpg,3423 Сом
"Корпус игровой JUMP K3 Black with USB (USB 2.0x2, USB 3.0x1, Card reader (TF, SD-card) 2xCooler)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/resized/f8564ab4-0f8b-4181-923d-ee5049250863_4893.jpg,3423 Сом
"Корпус игровой JUMP Q2 Black with USB (USB 2.0x2, USB 3.0x1, Card reader (TF, SD-card) 2xCooler)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/resized/q2_4504.jpg,3423 Сом
"Корпус (игровой) Aeromax WS-8010A, ATX/Micro ATX, USB 3.0/2*1.0, HD-Audio, Выс.проц.кулера до 170мм,Cooler Position:Front3*12cm;Top:2*12cm;Rear:1*12cm,Дл.VGA до 360мм,2*3.5""/2*2.5"",421x200x452,Без Б/П",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/3_7363.jpg,3432 Сом
"Корпус (игровой) Aeromax WS-8011A, ATX/Micro ATX, USB 3.0/2x1.0, HD-Audio, Выс.кулера до 170мм, Cooler Fan Position: Front 3x12cm;Top:2x12cm;Rear:1x12cm, Толщ. 0,45мм, 421x200x452, Без Б/П, Чёрн",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/4_3618.jpg,3432 Сом
"Корпус Aerocool CS-1101, ATX/Micro ATX, USB 3.0/2*2.0, HD-Audio+Mic,Кулер 8cm,Выс .проц.кул. до 150мм,Дл VGA до 375мм (без пер.кул),1*5.25""/ 3*3.5""/1*2.5"",Толщ 0,4мм, 410x195x411мм, Без Б/П,Чёрн",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/105_7600.jpg,3520 Сом
Корпус DEEPCOOL MATX MATREXX 30 SI w/o PSU 1*USB 3.0 Metal side panel Fully black,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/3_7353.jpg,3696 Сом
"Корпус PC Cooler MA100 MESH WH ATX 1xUSB 3.0, 2xUSB 2.0, HDAudio, 2x2,5"" SSD, 2x3,5"" HDD, 3*120mm Front RGB FAN,Tempered Glass, 360x200x446mm, White",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/7e56-54a2-5942-8132_2162.png,3784 Сом
DEEPCOOL ATX CC560 LE V2 w/o PSU USB3.0×1 USB2.0×1 Front,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1692271151_91129600_2471.jpg,3922 Сом
"Корпус Aerocool Tomahawk-A-BK-v3, ATX/MicroATX, USB1*3.0/2*2.0,HD-Audio+Mic, 3xКулер 1*12см, Высота CPU кулера до 157 мм, Длина VGA до 324мм(без радиатора), 1*3.5""/3*2.5"",196x440.5x399мм,БезБ/П,Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_7058_1018.jpg,3960 Сом
DEEPCOOL ATX CC560 LE w/o PSU USB3.0×2 Front,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01_6080.jpg,4012 Сом
"Корпус PC Cooler LM300 ARGB BK mATX 1xUSB 3.0, 2xUSB 2.0, HDAudio, 2x2,5"" SSD, 2x3,5"" HDD, 1*120mm Rear RGB FAN,Tempered Glass, 375x205x427mm, Black",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/2_3192.png,4224 Сом
"Корпус PC Cooler LM300 ARGB WH mATX 1xUSB 3.0, 2xUSB 2.0, HDAudio, 2x2,5"" SSD, 2x3,5"" HDD, 1*120mm Rear RGB FAN,Tempered Glass, 375x205x427mm, White",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/3_4116.png,4224 Сом
DEEPCOOL ATX CC560 WH V2 WHITE w/o PSU USB3.0×1 USB2.0×1 4×120mm LED FANS,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01_8491.jpg,4284 Сом
DEEPCOOL ATX CC560 V2 w/o PSU USB3.0×1 USB2.0×1 4×120mm LED FANS,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01 (2)_7489.webp,4330 Сом
DEEPCOOL MATX CC360 ARGB w/o PSU USB3.0×2 Front + 3×120mm ARGB FANS,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/4_5794.jpg,4602 Сом
DEEPCOOL ATX MATREXX 55 MESH w/o PSU 2*USB 3.0,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/12404_big_1527.jpg,4647 Сом
"Корпус Aerocool Menace Saturn RGB-G-BK-v1, ATX/Micro/ATX, USB2*3.0,HD-Audio+Mic, Кулер 2*12см RGB, Высота CPU кулера до 157мм, Длина VGA до 317мм, 2*3.5""/3*2.5"", 205x457x392мм, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/9_7786.png,4664 Сом
"Корпус Aerocool Scape-G-BK-v1, ATX/Micro/ATX,USB2*3.0/1*2.0,HD-Audio+Mic, Кулер 1*12см, Высота CPU кулера до157 мм, Длина VGA до 317мм (без радиатора), 2*3.5""/3*2.5"", 206 x457x413 мм, БезБ/П,Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/6_5247_3078.png,4664 Сом
DEEPCOOL ATX MATREXX 50 w/o PSU 1*USB 3.0 Glass front panel Fully black,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool_matrexx_50_images_12580071514_6318.jpg,4692 Сом
"Компьютерный корпус Huntkey GS450C, ATX/Micro ATX, USB 1*3.0/2*2.0, HD-Audio+Mic, Кулер 3*12см FRGB, Высота процессорного кулера до 160 мм, Длина VGA до 320мм, 2*3.5""/2*2.5"", Слот 7, Толщина 0,5мм, 360x200x450мм, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/7_7744.webp,4759 Сом
"Корпус PC Cooler C3 D310 ARGB BK mATX 2xUSB 3.0, HDAudio, 3x2,5"" SSD, 2x3,5"" HDD, 2x120mm ARGB FAN, Tempered Glass, 406x220x410mm, Black",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/100024863_804bf60883b4c37769e4d36edde2cd8e-450x450_7824.webp,4840 Сом
"Корпус PC Cooler C3 D310 ARGB WH mATX 2xUSB 3.0, HDAudio, 3x2,5"" SSD, 2x3,5"" HDD, 2x120mm ARGB FAN, Tempered Glass, 406x220x410mm, White",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/100024864_51ba164d604c73fc2579c89ad77ef7aa-500x500_3094.webp,4840 Сом
DEEPCOOL MATX CC360 WH ARGB WHITE w/o PSU USB3.0×2 Front + 3×120mm ARGB FANS,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/6_7082.jpg,4919 Сом
"Компьютерный корпус Huntkey GS450S, ATX/Micro ATX, USB 1*3.0/2*2.0, HD-Audio+Mic, Кулер 3*12см FRGB, Высота процессорного кулера до 160 мм, Длина VGA до 300мм, 2*3.5""/2*2.5"", Слот 7, Толщина 0,5мм, 360x200x450мм, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/8_4911.webp,4922 Сом
"Компьютерный корпус Aerocool Mini Cylon, Micro ATX/mini-ITX, USB 1*3.0/1*2.0, HD-Audio+Mic, Кулер 8см, Высота процессорного кулера 147 мм, Длина VGA до 300мм, 2*3.5""/3*2.5"", Толщина 0,5мм, 354x175x338мм, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/cylon-mini-tempered-glass-infographics-700x700px_1620.jpg,4981 Сом
"Корпус Aerocool Wave-G-BK-v3 ATX/MicroATX/miniITX, USB2*3.0/1*2.0, HD-Audio+Mic, RGB, Высота CPU кулера до 158мм, VGA до 297мм (без радиатора), Окно из закаленного , 206x450x372мм, 4 х 120 мм RGB-вентилятор, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/5_4602.png,5016 Сом
DEEPCOOL mATX MACUBE 110 2xUSB3.0 Flexible air path Magnetic side panels + VGA holder BLACK,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-macube-110-black-atx-4-usb3-0x2-audio-producent-deepcool_2617.jpg,5367 Сом
"Корпус Aerocool Scape-G-BK-v3, ATX/Micro/ATX,USB2*3.0/1*2.0,HD-Audio+Mic, Кулер 3*12см ARGB,Высота CPU кулера до157 мм,Длина VGA до 317мм(без радиатора), 2*3.5""/3*2.5"", 206 x457x413 мм, БезБ/П,Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/2_7597.png,5500 Сом
DEEPCOOL ATX CG580 w/o PSU USB3.0×2 Front,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/white_8867.jpg,5503 Сом
DEEPCOOL MATX CH370 w/o PSU 2*USB 3.0 1×120mm Grill design front panel,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01 (2)_2486.webp,5548 Сом
Корпус DEEPCOOL MATX CH370 w/o PSU 2*USB 3.0 1×120mm Grill design front panel,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/15_7872.webp,5720 Сом
DEEPCOOL ATX MATREXX 55 MESH V4 3×140 PWM+1×120 PWM ARGB w/o PSU 2*USB 3.0,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/chshf_8659.webp,5729 Сом
DEEPCOOL MATX CH370 WH WHITE w/o PSU 2*USB 3.0 1×120mm Grill design front panel,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_7153_6127.jpg,5729 Сом
"Компьютерный корпус Huntkey GX660T, ATX/Micro ATX, USB 2*3.0/2*2.0, HD-Audio+Mic, Кулер 3*12см ARGB, Высота процессорного кулера до 160 мм, Длина VGA до 330мм, 2*3.5""/3*2.5"", Слот 7, Толщина 0,5мм, 395x210x486мм, Без Б/П, Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/14_8731.jpg,5747 Сом
DEEPCOOL ATX CG580 WH WHITE w/o PSU USB3.0×2 Front,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/cg580_4387.jpg,5775 Сом
DEEPCOOL ATX MATREXX 55 V3 w/o PSU 2*USB 3.0,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/02_large_4673.jpg,5820 Сом
DEEPCOOL ATX CC560 ARGB V2 w/o PSU USB3.0×2 Front + 4×120mm ARGB FANS,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01 (1)_3273.jpg,5820 Сом
"GALAX Revolution – 01 , Gaming Case, ATX, 4 ARGB FAN [CG01AGBA4A0]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_5956.webp,5865 Сом
"Корпус PC Cooler C3 D510 ARGB BK ATX 2xUSB 3.0, HDAudio, 2x2,5"" SSD, 2x3,5"" HDD, 3x120mm ARGB FAN, Tempered Glass, 454x220x490mm, Black",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/6543777594afd-removebg-preview_5366.png,5896 Сом
"Корпус PC Cooler C3 D510 ARGB WH ATX 2xUSB 3.0, HDAudio, 2x2,5"" SSD, 2x3,5"" HDD, 3x120mm ARGB FAN, Tempered Glass, 454x220x490mm, White",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/100024861_7bee7959c769105c24cdb03db34fe506-450x450_2293.webp,5896 Сом
"Корпус Thermaltake H17, CA-1J1-00S1WN-00, Micro ATX/Mini ITX, USB1*3.0, USB2*2.0, HD-Audio, Куллер 1*120мм, Высота CPU куллера до 155мм, VGA до 350мм, 398x205x438мм, Без Б/П, Черный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/4_3582.jpg,5984 Сом
Корпус Thermaltake Versa H18/Black/Win/SPCC CA-1J4-00S1WN-00,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/5_3274.jpg,5984 Сом
DEEPCOOL ATX MATREXX 55 V4 w/o PSU 2*USB 3.0 3×140mm + 1×120mm ARGB PWM fans,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/05_5270.webp,6001 Сом
DEEPCOOL ATX CC560 ARGB w/o PSU USB3.0×2 Front + 4×120mm ARGB FANS,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01 (1)_5504.webp,6001 Сом
"Корпус Aerocool AirHawk-G-BK-v1, E-ATX/ATX/micro ATX/mini-ITX,USB3.0x2,HD-Audio+Mic,Кулер1*12см,ВысотаCPUкулердо168мм,VGAдо358мм,2x3.5”/2.5″и2x2.5”и2x2.5”/3.5”,219x460x380 мм,Без Б/П,Чёрный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/airhawk-infographic700x700px-001_2945.png,6072 Сом
DEEPCOOL ATX MATREXX 50 MESH 4FS w/o PSU 1*USB 3.0 4xRGB FANS Mesh front panel Fully black,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/01_8036.jpg,6273 Сом
"FSP CMT510, Gaming Case, ATX, 4 ARGB FAN",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/2_3345.jpg,6318 Сом
"DEEPCOOL MATX CH360 WH WHITE w/o PSU USB 3.0 2×140mm ARGB fan, Front Type-C, Mesh panel",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-matx-ch360-wh-white-w-o-psu-usb-30-2140mm-argb-fan-front-type-c-mesh-panel_8713.jpg,6364 Сом
"Корпус Aerocool Prism-G-BK-v3, ATX/micro ATX/mini-ITX, сталь, перед. и бок. панели закалён. стекло + 12см RGB вентиляторы x 4 шт. 216.7x477x403mm, БезБ/П,Чёрный+хаб на 6 порт. управл. ARGB-подсвет.",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_5409_3042.jpg,6600 Сом
